Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
48,2,492,2,16,4,1,1,1557,3,0,96,3,2,7,3,0,6439,13693,8,0,0,14,3,3,80,1,18,2,3,8,7,7,7,0
50,2,1322,1,28,3,1,1,1317,4,0,43,3,4,5,1,1,16880,22422,4,0,1,11,3,2,80,0,25,2,3,3,2,1,2,0
38,2,1495,1,4,2,3,1,1687,4,0,87,3,1,2,3,1,3306,26176,7,0,0,19,3,4,80,1,7,5,2,0,0,0,0,0
30,1,600,0,8,3,0,1,1747,3,0,66,2,1,1,4,0,2180,9732,6,0,0,11,3,3,80,1,6,0,2,4,2,1,2,1
36,1,541,2,3,4,3,1,481,1,1,48,2,3,7,4,1,9699,7246,4,0,0,11,3,1,80,1,16,2,3,13,9,1,12,0
35,2,556,1,23,2,1,1,261,2,1,50,2,2,4,3,1,5916,15497,3,0,1,13,3,1,80,0,8,1,3,1,0,0,1,1
50,1,959,2,1,4,4,1,1113,4,1,81,3,2,7,3,2,4728,17251,3,0,1,14,3,4,80,0,5,4,3,0,0,0,0,1
47,0,666,1,29,,1,1,376,1,1,88,3,3,3,2,1,11849,10268,1,0,1,12,3,4,80,1,10,2,2,10,7,9,9,1
32,2,515,1,1,3,1,1,331,4,1,62,2,1,2,3,2,3730,9571,0,0,1,14,3,4,80,0,4,2,1,3,2,1,2,1
,2,1134,1,16,4,5,1,1001,3,0,37,3,1,2,2,1,2811,12086,9,0,0,14,3,2,80,1,4,2,3,2,2,2,2,0
48,2,1469,1,20,,3,1,945,4,1,51,3,1,6,3,1,2259,5543,4,0,0,17,3,1,80,2,13,2,2,0,0,0,0,0
22,2,1294,1,8,1,3,1,1783,3,0,79,3,1,2,1,1,2398,15999,1,0,1,17,3,3,80,0,1,6,3,1,0,0,0,1
28,2,580,1,27,3,3,1,1622,2,0,39,1,2,4,1,0,4877,20460,0,0,0,21,4,2,80,1,6,5,2,5,3,0,0,0
35,2,1296,1,5,4,5,1,464,3,1,62,3,3,4,2,2,8095,18264,0,0,0,13,3,4,80,0,17,5,3,16,6,0,13,0
48,2,626,1,1,2,1,1,64,1,1,98,2,3,2,3,2,5381,19294,9,0,1,13,3,4,80,0,23,2,3,1,0,0,0,1
40,2,898,0,6,2,6,1,1550,3,1,38,3,4,3,4,2,16437,17381,1,0,1,21,4,4,80,0,21,2,3,21,7,7,7,0
20,2,500,2,2,3,3,1,922,3,0,49,2,1,8,3,2,2044,22052,1,0,0,13,3,4,80,0,2,3,2,2,2,0,2,1
40,2,676,1,9,4,1,1,1534,4,1,86,3,1,2,1,2,2018,21831,3,0,0,14,3,2,80,0,15,3,1,5,4,1,0,1
51,2,1318,2,26,4,2,1,851,1,0,66,3,4,3,3,1,16307,5594,2,0,0,14,3,3,80,1,29,2,2,20,6,4,17,0
25,2,688,1,30,3,3,1,538,1,1,91,3,1,2,1,1,4031,9396,5,0,0,13,3,3,80,1,6,5,3,2,2,0,2,1
58,2,8480,1,23,4,1,1,1308,1,1,88,3,1,6,3,0,2372,26076,1,0,0,12,3,4,80,2,2,3,3,2,2,2,2,0
59,1,1225,2,1,1,6,1,91,1,0,57,2,2,7,3,2,5473,24668,7,0,0,11,3,4,80,0,20,2,2,4,3,1,3,0
55,2,436,2,2,1,6,1,842,3,1,37,3,2,7,4,2,5160,21519,4,0,0,16,3,3,80,0,12,3,2,9,7,7,3,1
23,2,571,1,12,2,4,1,1982,4,1,78,3,1,2,4,2,2647,13672,1,0,0,13,3,3,80,0,5,6,4,5,2,1,4,0
40,2,555,1,2,3,3,1,521,2,0,78,2,2,2,3,1,3448,13436,6,0,0,22,4,2,80,1,20,3,3,1,0,0,0,0
28,2,329,1,24,3,3,1,1604,3,1,51,3,1,2,2,1,2408,7324,1,0,1,17,3,3,80,3,1,3,3,1,1,0,0,1
31,0,325,1,5,3,3,1,2057,2,1,74,3,2,4,1,2,9936,3787,0,0,0,19,3,2,80,0,10,2,3,9,4,1,7,0
19,2,419,2,21,3,4,1,959,4,1,37,2,1,8,2,2,2121,9947,1,0,1,13,3,2,80,0,1,3,4,1,0,0,0,1
28,0,1366,1,24,2,5,1,1082,2,1,72,2,3,0,1,2,8722,12355,1,0,0,12,3,1,80,0,10,2,2,10,7,1,9,1
20,1,871,1,6,3,1,1,137,4,0,66,2,1,2,4,2,2926,19783,1,0,1,18,3,2,80,0,1,5,3,1,0,1,0,1
30,1,448,2,12,4,1,1,648,2,1,74,2,1,8,1,1,2033,14470,1,0,0,18,3,3,80,1,1,2,4,1,0,0,0,1
